avg_vol_3month,c_level,company_name,e_score,ebitda,employees,enterprise_value,fifty_day_moving_avg,forward_pe,g_score,held_by_insiders,held_by_institutions,hq,industry,market_cap,peg_ratio,profit_margin,return_on_assets,return_on_equity,revenue,s_score,sector,ticker_name,tot_cash,tot_debt,tot_esg_score,trailing_pe,twohundred_day_moving_avg
94.42k,,"89bio, Inc.",,-32.48M,22,501.60M,27.62, ,,0.00%,103.77%,142 Sansome Street Second Floor,Biotechnology,587.13M, ,0.00%,N/A,N/A,N/A,,Healthcare,ETNB,85.53M,N/A,, ,27.36
3.1k,,8i Enterprises Acquisition Corp.,,N/A,,77.76M,10.13, ,,22.58%,67.93%,6 Eu Tong Sen Street No. 08-13 The Central,Shell Companies,76.21M, ,0.00%,N/A,-12.41%,N/A,,Financial Services,JFK,3.96k,1.55M,, ,10.09
65,,8i Enterprises Acquisition Corp.,,N/A,, ,10.93, ,,0.00%,1.43%,6 Eu Tong Sen Street No. 08-13 The Central,Shell Companies,, ,0.00%,N/A,-12.41%,N/A,,Financial Services,JFKKU,3.96k,1.55M,, ,10.74
2.14M,,"8x8, Inc.",,-139.82M,"1,675",1.98B,15.64, ,,3.27%,91.25%,"675 Creekside Way Campbell, CA 95008",Software—Application,1.76B, ,-38.63%,-15.84%,-78.33%,446.24M,,Technology,EGHT,170.85M,389.86M,, ,16.90
1.13M,,"9 Meters Biopharma, Inc.",,-24.52M,8,53.44M,0.5775, ,,10.24%,2.73%,8480 Honeycutt Road Suite 120,Biotechnology,51.77M, ,0.00%,-193.20%,N/A,N/A,,Healthcare,NMTR,2.67M,4.33M,, ,0.6008
209.28k,,9F Inc.,,N/A,"1,946",-206.76M,4.1234,2.55,,0.00%,5.61%,Jiufu Building Rongxin Technology Center Chaoyang District,Software—Application,447.96M, ,-48.80%,-16.40%,-30.84%,N/A,,Technology,JFU,N/A,N/A,,14.25,7.2218
231.12k,,"AAON, Inc.",,107.38M,"2,290",3.01B,54.89,38.31,,21.98%,72.30%,"2425 South Yukon Avenue Tulsa, OK 74107",Building Products & Equipment,3.04B,2.55,13.55%,14.77%,23.62%,492.99M,,Industrials,AAON,35.68M,1.6M,,46.42,51.94
1.06M,,Abeona Therapeutics Inc.,,-65.11M,88,154.48M,2.9909, ,,17.82%,66.40%,1330 Avenue of the Americas 33rd Floor,Biotechnology,262.81M, ,0.00%,-26.87%,-84.65%,N/A,,Healthcare,ABEO,116.04M,7.71M,, ,2.7525
516.18k,,"Abiomed, Inc.",,269.07M,"1,536",12.83B,261.25, ,,2.04%,101.37%,"22 Cherry Hill Drive Danvers, MA 01923",Medical Devices,13.27B, ,24.14%,13.69%,20.28%,840.88M,,Healthcare,ABMD,443.12M,12.22M,,66.49,195.15
8.91M,,Abraxas Petroleum Corporation,,142.13M,,238.54M,0.2571,1.04,,2.98%,39.06%,"18803 Meisner Drive San Antonio, TX 78258",Oil & Gas E&P,38.91M, ,1.72%,14.70%,1.32%,110.36M,,Energy,AXAS,N/A,199.63M,,0.58,0.2206
865.07k,,AC Immune SA,,N/A,115,182.42M,7.06,25.25,,47.90%,26.78%,Building B EPFL Innovation Park,Biotechnology,478.58M, ,-53.36%,-4.77%,-10.18%,N/A,,Healthcare,ACIU,N/A,N/A,,9.87,7.46
621.25k,,"Acacia Communications, Inc.",,41.6M,429,2.48B,67.78,29.07,,7.87%,85.15%,Three Mill and Main Place Suite 400,Communication Equipment,2.83B, ,8.56%,2.68%,7.40%,485.07M,,Technology,ACIA,367.7M,23.98M,,70.47,67.69
459.98k,,Acacia Research Corporation,,-16.45M,17,47.80M,3.9744, ,,5.21%,64.68%,4 Park Plaza Suite 550,Specialty Business Services,195.80M, ,-205.77%,-5.80%,-12.68%,11.67M,,Industrials,ACTG,158.11M,1.4M,, ,2.8358
726.19k,,"Acadia Healthcare Company, Inc.",,566.54M,"28,400",6.11B,26.58,14.41,,1.55%,119.21%,6100 Tower Circle Suite 1000,Medical Care Facilities,2.54B, ,3.61%,3.72%,4.65%,3.13B,,Healthcare,ACHC,81M,3.7B,,22.34,26.57
1.76M,,ACADIA Pharmaceuticals Inc.,,-245.78M,550,6.18B,50.23, ,,0.10%,97.57%,3611 Valley Centre Drive Suite 300,Biotechnology,6.82B, ,-64.99%,-24.87%,-45.04%,366.18M,,Healthcare,ACAD,651.41M,9M,, ,45.61
150.18k,,Acamar Partners Acquisition Corp.,,N/A,,393.20M,10.25, ,,0.00%,77.96%,1450 Brickell Avenue Suite 2130,Shell Companies,394.19M, ,0.00%,N/A,N/A,N/A,,Financial Services,ACAM,987.12k,N/A,,68.80,10.06
6.47k,,Acamar Partners Acquisition Corp.,,N/A,, ,10.61, ,,0.00%,19.32%,1450 Brickell Avenue Suite 2130,Shell Companies,, ,0.00%,N/A,N/A,N/A,,Financial Services,ACAMU,987.12k,N/A,, ,10.32
2.4M,,Acasti Pharma Inc.,,-22.12M,32,47.93M,0.6859, ,,9.29%,6.09%,"545, Promenade du Centropolis Suite 100",Biotechnology,62.02M, ,0.00%,-51.13%,-212.26%,N/A,,Healthcare,ACST,14.24M,147k,, ,0.6246
495.92k,,"Accelerate Diagnostics, Inc.",,-69.01M,275,984.78M,14.21, ,,40.66%,53.53%,3950 South Country Club Road Suite 470 4th Floor,Diagnostics & Research,940.15M, ,0.00%,-30.69%,-837.84%,9.89M,,Healthcare,AXDX,92.01M,136.64M,, ,12.39
705.83k,,Acceleron Pharma Inc.,,-143.21M,237,5.42B,99.79, ,,13.50%,90.09%,"128 Sidney Street Cambridge, MA 02139",Biotechnology,5.81B, ,-182.30%,-17.96%,-29.80%,75.56M,,Healthcare,XLRN,414.44M,24.92M,, ,89.94
1.08M,,"Accolade, Inc.",,-43.65M,"1,250",1.58B,30.53, ,,N/A,N/A,660 West Germantown Pike Suite 500,Health Information Services,1.60B, ,-38.76%,-42.84%,N/A,132.51M,,Healthcare,ACCD,33.16M,21.14M,, ,30.53
627.55k,,Accuray Incorporated,,19.85M,947,337.33M,2.2109, ,,4.15%,74.52%,"1310 Chesapeake Terrace Sunnyvale, CA 94089",Medical Devices,202.76M, ,0.64%,1.68%,4.80%,405.37M,,Healthcare,ARAY,89.74M,224.31M,,112.00,2.4338
1.24M,,"AcelRx Pharmaceuticals, Inc.",,-54.11M,59,64.67M,1.2238, ,,1.87%,24.01%,"351 Galveston Drive Redwood City, CA 94063",Drug Manufacturers—Specialty & Generic,87.22M, ,0.00%,-36.65%,N/A,2.41M,,Healthcare,ACRX,52.73M,30.17M,, ,1.3976
278.29k,,Acer Therapeutics Inc.,,-25.13M,18,27.04M,3.3341, ,,24.64%,51.93%,One Gateway Center Suite 351,Biotechnology,33.51M, ,0.00%,-55.09%,-101.78%,N/A,,Healthcare,ACER,7.01M,535.47k,, ,3.2389
2.48M,,"Achieve Life Sciences, Inc.",,-13.7M,14,5.57M,0.4256, ,,1.13%,17.06%,1040 West Georgia Street Suite 1030,Biotechnology,17.41M, ,0.00%,-55.96%,-109.72%,N/A,,Healthcare,ACHV,12.16M,314k,, ,0.4363
680.25k,,"ACI Worldwide, Inc.",,217.8M,"4,018",4.52B,26.88,51.55,,2.78%,100.24%,3520 Kraft Road Suite 300,Software—Infrastructure,3.22B,1.76,5.10%,3.78%,6.53%,1.34B,,Technology,ACIW,119.12M,1.43B,,47.91,28.43
705.58k,,"Aclaris Therapeutics, Inc.",,-77.7M,75,14.78M,1.7697, ,,10.01%,84.81%,640 Lee Road Suite 200,Biotechnology,93.78M, ,0.00%,-27.66%,-84.51%,4.37M,,Healthcare,ACRS,79M,14.6M,, ,1.4143
568.93k,,"ACM Research, Inc.",,17.57M,361,1.57B,70.37,88.50,,36.02%,19.11%,42307 Osgood Road Suite I,Semiconductor Equipment & Materials,1.62B, ,16.83%,6.37%,18.28%,111.39M,,Technology,ACMR,52.28M,7.44M,,91.67,46.41
21.14k,,ACNB Corporation,,N/A,374, ,24.26, ,,3.36%,22.21%,"16 Lincoln Square Gettysburg, PA 17325",Banks—Regional,203.74M, ,20.89%,0.86%,7.91%,79.64M,,Financial Services,ACNB,129.17M,103.87M,,9.85,27.60
2.5M,,"Acorda Therapeutics, Inc.",,-73.67M,344,206.53M,0.7926, ,,1.49%,116.94%,"420 Saw Mill River Road Ardsley, NY 10502",Biotechnology,39.17M, ,-131.45%,-7.10%,-53.10%,176.37M,,Healthcare,ACOR,82.89M,250.26M,, ,1.1646
7.61M,2,"Activision Blizzard, Inc.",0.2,2.06B,"9,080",58.99B,76.98,33.00,6.1,1.37%,92.22%,"3100 Ocean Park Boulevard Santa Monica, CA 90405",Electronic Gaming & Multimedia,62.22B,2.60,24.19%,5.83%,12.68%,6.45B,10.5,Communication Services,ATVI,5.98B,2.68B,17,40.15,66.59
440.61k,,"Adamas Pharmaceuticals, Inc.",,-75.71M,136,97.58M,2.7012, ,,2.81%,79.07%,1900 Powell Street Suite 1000,Drug Manufacturers—Specialty & Generic,75.75M, ,-160.44%,-26.12%,-383.56%,57.45M,,Healthcare,ADMS,115.28M,137.12M,, ,3.5592
3.92M,,Adamis Pharmaceuticals Corporation,,-24.51M,131,72.54M,0.6621, ,,1.12%,14.55%,11682 El Camino Real Suite 300,Drug Manufacturers—Specialty & Generic,79.10M, ,-140.33%,-35.13%,-84.10%,21.87M,,Healthcare,ADMP,10.51M,3.95M,, ,0.5610
210.5k,,AdaptHealth Corp.,,115.41M,"2,590",2.01B,18.19, ,,36.81%,51.45%,220 West Germantown Pike Suite 250,Medical Devices,1.85B, ,-1.55%,6.04%,-19.55%,601.59M,,Healthcare,AHCO,48.16M,505.8M,,518.90,16.00
3.28M,,Adaptimmune Therapeutics plc,,-127.84M,383,1.26B,9.63, ,,0.20%,50.74%,60 Jubilee Avenue Milton Park,Biotechnology,1.43B, ,0.00%,-30.54%,-67.99%,1.88M,,Healthcare,ADAP,196.43M,24.42M,, ,5.46
1.18M,,Adaptive Biotechnologies Corporation,,-84.98M,453,4.45B,43.86, ,,5.47%,73.44%,1551 Eastlake Avenue East Suite 200,Biotechnology,4.97B, ,-87.47%,-7.80%,-19.44%,93.31M,,Healthcare,ADPT,555.17M,38.05M,, ,33.63
129.4k,,Addus HomeCare Corporation,,42.1M,"4,875",1.32B,91.89,38.31,,1.44%,103.43%,6801 Gaylord Parkway Suite 110,Medical Care Facilities,1.48B,2.55,3.33%,3.90%,5.52%,598.15M,,Healthcare,ADUS,239.61M,78.7M,,63.27,86.70
368.74k,,"ADDvantage Technologies Group, Inc.",,-7.15M,185,34.46M,2.8553, ,,56.01%,11.12%,"13757 North Stemmons Freeway Farmers Branch, TX 75234",Electronics & Computer Distribution,25.24M, ,-31.67%,-14.34%,-78.03%,61.34M,,Technology,AEY,4.16M,13.38M,, ,2.6096
493.06k,,"Adial Pharmaceuticals, Inc.",,-8.3M,3,14.21M,1.4559, ,,31.74%,5.89%,1180 Seminole Trail Suite 495,Biotechnology,19.17M, ,0.00%,-57.61%,-94.73%,N/A,,Healthcare,ADIL,4.95M,N/A,, ,1.5312
385.29k,,"ADiTx Therapeutics, Inc.",,N/A,2,18.93M,3.8172, ,,N/A,N/A,11161 Anderson Street Suite 105-10014,Biotechnology,18.31M, ,0.00%,N/A,N/A,N/A,,Healthcare,ADTX,46.58k,665.21k,, ,3.8172
2.79M,,"ADMA Biologics, Inc.",,-41.74M,313,252.50M,2.9538, ,,7.35%,47.91%,"465 State Route 17 Ramsey, NJ 07446",Biotechnology,255.58M, ,-151.18%,-19.48%,-102.39%,36.02M,,Healthcare,ADMA,101.24M,98.15M,, ,3.1185
2.98M,2,Adobe Inc.,0.4,4.35B,"22,634",213.45B,430.86,45.45,5.1,0.29%,89.10%,"345 Park Avenue San Jose, CA 95110",Software—Infrastructure,213.11B,2.38,30.71%,11.44%,35.55%,12.05B,8.1,Technology,ADBE,4.35B,4.7B,14,58.61,367.83
381.72k,,"ADTRAN, Inc.",,-13.85M,"1,790",537.55M,11.17,625.00,,1.10%,93.48%,"901 Explorer Boulevard Huntsville, AL 35806",Communication Equipment,614.82M, ,-12.72%,-3.48%,-15.79%,500.79M,,Technology,ADTN,77.27M,7.52M,,114.75,9.67
589.53k,,"Aduro Biotech, Inc.",,-67.11M,96,68.71M,2.5126, ,,29.84%,44.75%,"740 Heinz Avenue Berkeley, CA 94710-2224",Biotechnology,238.60M, ,-243.93%,-14.01%,-76.04%,27.27M,,Healthcare,ADRO,202.92M,33.02M,, ,2.6194
230.42k,,"Advanced Emissions Solutions, Inc.",,-11.41M,133,116.93M,4.8668,2.20,,2.86%,69.70%,640 Plaza Drive Suite 270,Pollution & Treatment Controls,86.18M, ,30.53%,-6.70%,18.53%,63.02M,,Industrials,ADES,12.19M,42.94M,,4.48,7.2638
286.42k,,"Advanced Energy Industries, Inc.",,124.7M,"10,917",2.84B,67.90,31.06,,2.51%,102.64%,1595 Wynkoop Street Suite 800,Electrical Equipment & Parts,2.75B, ,7.02%,4.79%,9.10%,963.66M,,Industrials,AEIS,355.03M,448.27M,,46.34,62.21
1.31M,,"Advaxis, Inc.",,-30.97M,35,15.21M,0.6124, ,,0.47%,19.36%,"305 College Road East Princeton, NJ 08540",Biotechnology,36.99M, ,0.00%,-42.55%,-87.08%,260k,,Healthcare,ADXS,28.22M,6.44M,, ,0.7364
1.33M,,"Adverum Biotechnologies, Inc.",,-74.88M,114,1.12B,21.04, ,,3.34%,80.01%,"800 Saginaw Drive Redwood City, CA 94063",Biotechnology,1.39B, ,0.00%,-16.82%,-29.63%,250k,,Healthcare,ADVM,297.07M,31.78M,, ,15.33
59.73M,,"Advanced Micro Devices, Inc.",,1.01B,"11,400",69.08B,54.94,59.52,,0.60%,78.19%,"2485 Augustine Drive Santa Clara, CA 95054",Semiconductors,69.77B,1.75,6.72%,8.92%,20.19%,7.25B,,Technology,AMD,1.38B,699M,,138.53,51.37
87.97k,,Aehr Test Systems,,-2.15M,,45.46M,1.9982, ,,11.16%,25.56%,"400 Kato Terrace Fremont, CA 94539",Semiconductor Equipment & Materials,48.10M, ,-12.57%,-7.60%,-18.99%,22.29M,,Technology,AEHR,5.43M,3.94M,,153.47,1.8430
905.37k,,"Aemetis, Inc.",,-358k,160,225.71M,0.8197, ,,10.75%,30.14%,20400 Stevens Creek Boulevard Suite 700,Oil & Gas Refining & Marketing,16.96M, ,-19.06%,-3.05%,N/A,199.59M,,Energy,AMTX,303k,228.96M,, ,0.7426
886.02k,,"Aerie Pharmaceuticals, Inc.",,-159.66M,380,561.71M,14.22, ,,2.08%,131.45%,4301 Emperor Boulevard Suite 400,Drug Manufacturers—Specialty & Generic,616.17M, ,-252.92%,-33.92%,-125.73%,79.38M,,Healthcare,AERI,264.73M,210.28M,, ,16.23
122.51k,,Aegion Corporation,,99.71M,"4,900",800.34M,15.48,16.21,,4.05%,99.51%,17988 Edison Avenue Chesterfield,Engineering & Construction,502.29M,1.53,-1.51%,3.89%,-3.83%,1.22B,,Industrials,AEGN,73.21M,381.72M,,920.00,16.98
2.39M,,"Aerpio Pharmaceuticals, Inc.",,-17.78M,12,25.63M,1.2925, ,,24.32%,27.22%,9987 Carver Road Suite 420,Biotechnology,60.07M, ,0.00%,-24.59%,-44.62%,N/A,,Healthcare,ARPO,34.58M,145.91k,, ,0.8204
337.8k,,"Aeglea BioTherapeutics, Inc.",,-81.23M,79,311.58M,8.79, ,,4.08%,57.82%,805 Las Cimas Parkway Suite 100,Biotechnology,355.46M, ,0.00%,-52.83%,-100.34%,N/A,,Healthcare,AGLE,48.99M,5.17M,, ,7.34
72.49k,,Aesthetic Medical International Holdings Group Limited,,N/A,"1,550",119.25M,5.9512,18.69,,0.00%,3.97%,1122 Nanshan Boulevard Nanshan District,Medical Care Facilities,119.25M, ,4.55%,-7.99%,23.19%,N/A,,Healthcare,AIH,N/A,N/A,,8.68,7.6717
2.83M,,Aeterna Zentaris Inc.,,-8.6M,,11.71M,0.7074, ,,0.03%,10.82%,315 Sigma Drive Suite 302D,Biotechnology,20.53M, ,-22.21%,-25.51%,N/A,1.58M,,Healthcare,AEZS,9.18M,360k,, ,0.8578
2.6M,,"Aethlon Medical, Inc.",,-5.9M,8,15.73M,1.9259, ,,5.03%,12.52%,9635 Granite Ridge Drive Suite 100,Medical Devices,25.19M, ,0.00%,-51.08%,-110.22%,650.19k,,Healthcare,AEMD,9.6M,141.1k,, ,1.8854
1.58M,,Affimed N.V.,,N/A,137,214.04M,4.1022, ,,7.50%,59.17%,Technologiepark Im Neuenheimer Feld 582,Biotechnology,313.39M, ,-279.79%,-26.17%,-115.13%,N/A,,Healthcare,AFMD,N/A,N/A,, ,2.8065
302.49k,,Afya Limited,,N/A,,2.28B,23.53,29.76,,29.71%,48.16%,"No. 119, Alameda Oscar Niemeyer Rooms 502, 504, 1,501 and 1,503 Vila da Serra",Education & Training Services,2.44B, ,24.16%,5.88%,12.44%,N/A,,Consumer Defensive,AFYA,N/A,N/A,,61.28,22.69
1.18k,,AGBA Acquisition Limited,,N/A,,62.17M,10.31, ,,22.21%,45.30%,"Room 1108, 11th Floor, Block B New Mandarin Plaza 14 Science Museum Road Tsimshatsui East",Shell Companies,62.44M, ,0.00%,N/A,N/A,N/A,,Financial Services,AGBA,856.76k,585.19k,, ,10.16
1.32k,,AGBA Acquisition Limited,,N/A,, ,10.45, ,,23.83%,29.56%,"Room 1108, 11th Floor, Block B New Mandarin Plaza 14 Science Museum Road Tsimshatsui East",Shell Companies,, ,0.00%,N/A,N/A,N/A,,Financial Services,AGBAU,856.76k,585.19k,, ,10.29
2.14M,,"Agile Therapeutics, Inc.",,-21.6M,15,143.20M,2.7099, ,,0.69%,38.86%,"101 Poor Farm Road Princeton, NJ 08540",Drug Manufacturers—Specialty & Generic,221.52M, ,0.00%,-20.15%,-37.86%,N/A,,Healthcare,AGRX,93.92M,15.6M,, ,2.7095
241.07k,,"Agilysys, Inc.",,-7.25M,"1,275",396.50M,18.71, ,,8.22%,89.51%,1000 Windward Concourse Suite 250,Software—Application,427.77M, ,-21.19%,-3.88%,-39.53%,160.76M,,Technology,AGYS,46.65M,15.38M,, ,22.29
688.43k,,"Agios Pharmaceuticals, Inc.",,-363.49M,536,3.18B,51.87, ,,11.37%,102.10%,88 Sidney Street 2nd Floor,Biotechnology,3.59B, ,-205.20%,-28.67%,-57.59%,174.78M,,Healthcare,AGIO,528.62M,111.35M,, ,47.07
4.3k,,AGM Group Holdings Inc.,,-3.33M,48,524.32M,21.10, ,,60.52%,0.02%,Connuaght Commercial Building Room 1502-3 15th Floor 185 Wanchai Road,Software—Application,526.40M, ,0.00%,-3.99%,-27.78%,1.07M,,Technology,AGMH,2.21M,N/A,, ,17.79
9.95M,0,AGNC Investment Corp.,3.8,N/A,51, ,13.19,6.29,9.6,0.32%,65.83%,2 Bethesda Metro Center 12th Floor,REIT—Mortgage,7.55B, ,0.00%,-1.96%,-19.69%,-1.91B,6.5,Real Estate,AGNC,6.89B,66.89B,20,15.26,14.32
64.6k,,AGNC Investment Corp.,,N/A,51, ,23.01, ,,0.00%,25.55%,2 Bethesda Metro Center 12th Floor,REIT—Mortgage,, ,0.00%,-1.96%,-19.69%,-1.91B,,Real Estate,AGNCN,6.89B,66.89B,, ,23.34
3.19M,,Agenus Inc.,,-118.41M,328,536.49M,3.7853, ,,19.71%,41.54%,"3 Forbes Road Lexington, MA 02421",Biotechnology,599.31M, ,-200.31%,-36.72%,N/A,85.28M,,Healthcare,AGEN,92.28M,30.82M,, ,3.1764
41.23k,,AGNC Investment Corp.,,N/A,51, ,22.35, ,,0.00%,25.70%,2 Bethesda Metro Center 12th Floor,REIT—Mortgage,, ,0.00%,-1.96%,-19.69%,-1.91B,,Real Estate,AGNCM,6.89B,66.89B,, ,22.79
60.5k,,AGNC Investment Corp.,,N/A,51, ,22.23, ,,0.00%,21.16%,2 Bethesda Metro Center 12th Floor,REIT—Mortgage,, ,0.00%,-1.96%,-19.69%,-1.91B,,Real Estate,AGNCO,6.89B,66.89B,, ,22.60
93.61k,,AGNC Investment Corp.,,N/A,51, ,21.36, ,,N/A,N/A,2 Bethesda Metro Center 12th Floor,REIT—Mortgage,, ,0.00%,-1.96%,-19.69%,-1.91B,,Real Estate,AGNCP,6.89B,66.89B,, ,21.10
483.25k,,"Agora, Inc.",,-887,498,4.42B,78.09, ,,N/A,N/A,"Building 12 Floor 8 Phase III of ChuangZhiTianDi 333 Songhu Road, Yangpu District",Software—Application,4.57B, ,-2.85%,N/A,N/A,86.63M,,Technology,API,151.65M,N/A,,379.21,110.72
291.85k,,"AgroFresh Solutions, Inc.",,62.7M,292,513.90M,2.8135, ,,2.42%,72.17%,One Washington Square Suite 1350 510-530 Walnut Street,Farm Products,132.74M, ,-31.59%,1.02%,-15.59%,164.15M,,Consumer Defensive,AGFS,28.3M,409.97M,, ,2.3190
4.43M,,AIkido Pharma Inc.,,N/A,3,26.21M,0.8826, ,,5.64%,17.45%,One Rockefeller Plaza 11th Floor,Biotechnology,42.60M, ,0.00%,-27.48%,-71.20%,9k,,Healthcare,AIKI,16.39M,N/A,,2.04,0.8214
991.67k,,"Aileron Therapeutics, Inc.",,-29.32M,13,34.62M,1.1101, ,,26.52%,16.29%,490 Arsenal Way Suite 210,Biotechnology,42.39M, ,0.00%,-86.27%,-255.61%,N/A,,Healthcare,ALRN,12.7M,4.93M,, ,0.7529
1.13M,,"Aimmune Therapeutics, Inc.",,-275.34M,362,823.44M,17.05, ,,20.86%,82.85%,8000 Marina Boulevard Suite 300,Biotechnology,1.04B, ,0.00%,-45.81%,-114.24%,575k,,Healthcare,AIMT,358.35M,140.45M,, ,20.20
2.48k,,"Air T, Inc.",,12.98M,478,119.32M,12.43, ,,44.59%,32.04%,"5930 Balsom Ridge Road Denver, NC 28037",Integrated Freight & Logistics,32.48M, ,3.23%,3.41%,10.57%,236.78M,,Industrials,AIRT,7.63M,95.38M,,152.20,14.57
274,,"Air T, Inc.",,12.98M,478, ,21.48, ,,0.00%,1.68%,"5930 Balsom Ridge Road Denver, NC 28037",Integrated Freight & Logistics,, ,3.23%,3.41%,10.57%,236.78M,,Industrials,AIRTP,7.63M,95.38M,, ,22.23
554.89k,,"Air Transport Services Group, Inc.",,451.09M,"4,380",3.01B,22.70,21.55,,2.77%,95.71%,"145 Hunter Drive Wilmington, OH 45177",Integrated Freight & Logistics,1.48B, ,11.79%,3.97%,34.56%,1.49B,,Industrials,ATSG,71.06M,1.61B,,18.09,20.62
105.24k,,"Airgain, Inc.",,-16k,126,85.52M,10.72, ,,8.52%,55.23%,3611 Valley Centre Drive Suite 150,Communication Equipment,119.07M, ,-1.18%,-1.32%,-1.31%,51.85M,,Technology,AIRG,33.55M,N/A,,88.11,8.88
626.53k,,AirNet Technology Inc.,,-40.13M,315,16.47M,0.8829, ,,4.26%,2.13%,Sky Plaza 17th Floor No. 46 Dongzhimenwai Street Dongcheng District,Telecom Services,11.10M, ,0.00%,-13.72%,-142.73%,22.71M,,Communication Services,ANTE,5.48M,10.85M,, ,0.8676
